"","old_game_id","play_id","play_type_nfl","defteam","week","complete_pass","wp","yac_allowed","yac_epa_allowed","xyac_epa_allowed","xyac_mean_yardage_allowed","is_screen_pass"
"2066",2022121803,2666,"PASS","DAL",15,1,0.0713029354810715,21,2.20037455158308,0.792390804127278,9.11925678122498,0
"2067",2022121803,2870,"PASS","DAL",15,1,0.270404040813446,0,0,NA,NA,0
"2068",2022121803,3091,"PASS","DAL",15,1,0.441551804542542,4,0.267346156993881,0.521988881425397,6.6375434777874,0
"2069",2022121803,3204,"PASS","DAL",15,1,0.604630351066589,0,0,NA,NA,0
"2070",2022121803,3266,"PASS","JAX",15,1,0.302271127700806,20,1.5124056157656,0.43007803063464,3.91126107106538,0
"2071",2022121803,3447,"PASS","JAX",15,1,0.487681061029434,0,0,0.758545006656646,4.74269572255434,0
"2072",2022121803,3471,"PASS","JAX",15,1,0.479351222515106,8,2.55997996235965,1.87490103060241,8.00229779729852,0
"2073",2022121803,3516,"PASS","JAX",15,1,0.488996058702469,0,0,0.689197669096798,3.120377656247,0
"2074",2022121803,3540,"PASS","JAX",15,1,0.485906720161438,0,0,NA,NA,0
"2075",2022121803,3596,"PASS","DAL",15,1,0.358432322740555,0,0,0.368581073045566,4.51344129307836,0
"2076",2022121803,3620,"PASS","DAL",15,1,0.3569455742836,0,0,0.183392048271789,3.50951760717726,0
"2077",2022121803,3666,"PASS","DAL",15,1,0.36189666390419,2,0.307379115372896,0.649963341839848,4.76284021072206,0
"2078",2022121803,3690,"PASS","DAL",15,1,0.344285696744919,1,0.203671900613699,0.286994251217434,4.51833866830566,0
"2079",2022121803,3905,"PASS","DAL",15,1,0.18859826028347,0,0,0.599483933541768,3.5676746082172,0
"2080",2022121803,3929,"PASS","DAL",15,1,0.253334522247314,4,0.224137443117797,0.544908610227671,8.6452554724674,0
"2081",2022121803,3997,"PASS","DAL",15,1,0.199579209089279,2,0.172363014309667,0.355058433576342,4.64293298215489,0
"2082",2022121803,4021,"PASS","DAL",15,1,0.223042830824852,6,0.555098682473088,0.384512669607654,4.30310093646403,0
"2083",2022121804,77,"PASS","NYJ",15,1,0.452388435602188,6,0.480222448939458,0.49414670919448,6.12816606959677,0
"2084",2022121804,144,"PASS","NYJ",15,1,0.425856739282608,10,0.67460189666599,0.20892340899545,3.39726375318423,0
"2085",2022121804,210,"PASS","NYJ",15,1,0.497647553682327,3,0.204666482750326,0.210152271348399,3.03942164743785,0
"2086",2022121804,255,"PASS","NYJ",15,1,0.564080238342285,1,0.167611748503987,0.531969475730869,2.89908518351149,0
"2087",2022121804,650,"PASS","DET",15,1,0.378464013338089,3,0.227039938326925,0.230016782752789,3.55060400095681,0
"2088",2022121804,685,"PASS","DET",15,1,0.421564221382141,0,0,0.243387563418949,3.46924827439943,0
"2089",2022121804,816,"PASS","NYJ",15,1,0.639094173908234,5,1.23554808227345,0.738988859016687,4.20679741640924,0
"2090",2022121804,982,"PASS","DET",15,1,0.368126958608627,5,0.254967887536623,0.671941723773676,9.88882865704363,0
"2091",2022121804,1006,"PASS","DET",15,1,0.42335456609726,10,1.86068057193188,0.93343997490418,5.49526394158602,0
"2092",2022121804,1083,"PASS","NYJ",15,1,0.423621356487274,0,0,0.411980504779617,3.53319180267135,0
"2093",2022121804,1132,"PASS","NYJ",15,1,0.456057459115982,13,1.19447601377033,0.52803709901064,4.29750034052995,0
"2094",2022121804,1220,"PASS","NYJ",15,1,0.4539495408535,8,0.662037685513496,0.304390971301224,3.87691380130127,0
"2095",2022121804,1260,"PASS","NYJ",15,1,0.550882339477539,17,1.65760102984495,1.04945462675484,8.29168515169295,0
"2096",2022121804,1317,"PASS","NYJ",15,1,0.546446561813354,2,0.341549360367935,0.448551274961416,3.18398884148337,0
"2097",2022121804,1386,"PASS","NYJ",15,1,0.536230564117432,2,0.2360265358584,0.569731497939329,4.18964026862523,0
"2098",2022121804,1478,"PASS","DET",15,1,0.496550917625427,3,0.184585212962702,0.274979406620799,4.29249178357713,0
"2099",2022121804,1565,"PASS","DET",15,1,0.578044056892395,7,0.773387446126435,1.00222435558916,8.82426546071656,0
"2100",2022121804,1807,"PASS","NYJ",15,1,0.547806084156036,0,0,0.495498449510182,4.85260383729474,0
